Directory Name,Species,Common name,Other species names,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession,Source of assembly,NCBI assembly name,NCBI assembly status,Assembly submission date,Assembly submitter organization,contig N50 (bp),scaffold N50 (bp),No. ancestral genes with intact ORF,No. ancestral genes with inactivating mutations,No. ancestral genes with missing sequences
Asarcornis_scutulata__White_winged_duck__HLasaScu1__GCA_013398475.1,Asarcornis scutulata,White winged duck,,75869,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Asarcornis,HLasaScu1,GCA_013398475.1,NCBI,ASM1339847v1,Scaffold,2020-07-10,B10K Consortium,91211,5635001,-1.0,-1.0,-1.0
Bucephala_clangula__Common_goldeneye__HLbucCla1__GCA_964059595.1,Bucephala clangula,Common goldeneye,Anas clangula,107022,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Bucephala,HLbucCla1,GCA_964059595.1,NCBI,bBucCla1.1,Chromosome,2024-06-06,WELLCOME SANGER INSTITUTE,4272793,66356865,-1.0,-1.0,-1.0
Cairina_moschata_domestica__Muscovy_Duck__HLcaiMos1__GCA_009194515.1,Cairina moschata domestica,Muscovy Duck,"Muscovy duck,muscovy,musky duck,Cairina moschata var. domesticus",1240228,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Cairina,HLcaiMos1,GCA_009194515.1,NCBI,CaiMos1.0,Chromosome,2019-11-25,McDonnell Genome Institute - Washington University School of Medicine,89133,2417665,-1.0,-1.0,-1.0
Callonetta_leucophrys__Ringed_teal__HLcalLeuc1__GCA_049176255.1,Callonetta leucophrys,Ringed teal,Anas leucophrys,75871,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Callonetta,HLcalLeuc1,GCA_049176255.1,NCBI,ASM4917625v1,Scaffold,2025-03-29,Iridian Genomes,28540,75627000,,,
Clangula_hyemalis__Long-tailed_duck__HLclaHyem1__GCA_963989345.1,Clangula hyemalis,Long-tailed duck,Anas hyemalis,197941,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Clangula,HLclaHyem1,GCA_963989345.1,NCBI,bClaHye2.1,Chromosome,2024-03-14,WELLCOME SANGER INSTITUTE,3738964,78069974,,,
Heteronetta_atricapilla__Black_headed_duck__HLhetAtr1__GCA_011075105.1,Heteronetta atricapilla,Black headed duck,,555264,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Heteronetta,HLhetAtr1,GCA_011075105.1,NCBI,BPBGC_Hatr_1.0,Chromosome,2020-03-10,Brood Parasitic Bird Genomes Consortium,151401,23364606,-1.0,-1.0,-1.0
Lophodytes_cucullatus__Hooded_merganser__HLlopCucu1__GCA_049176295.1,Lophodytes cucullatus,Hooded merganser,Mergus cucullatus,279951,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Lophodytes,HLlopCucu1,GCA_049176295.1,NCBI,ASM4917629v1,Scaffold,2025-03-29,Iridian Genomes,34452,75505413,,,
Mareca_falcata__Falcated_duck__HLmarFalc1__GCA_053567875.1,Mareca falcata,Falcated duck,Anas falcata,75844,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Mareca,HLmarFalc1,GCA_053567875.1,NCBI,SKLAFABB.AnasFal1.0,Chromosome,2025-11-18,China Agricultural University,41080195,76775030,,,
Mareca_strepera__Gadwall__HLmarStre1A__GCA_965278785.1,Mareca strepera,Gadwall,"Anas strepera,Chaulelasmus streperus",75861,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Mareca,HLmarStre1A,GCA_965278785.1,NCBI,bMarStr1.hap1.1,Chromosome,2025-05-10,WELLCOME SANGER INSTITUTE,2097805,66097916,,,
Mergellus_albellus__Smew__HLmerAlbe1__GCA_051254355.1,Mergellus albellus,Smew,"Zwergsaeger,Mergus albellus",107026,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Mergellus,HLmerAlbe1,GCA_051254355.1,NCBI,ASM5125435v1,Scaffold,2025-07-09,Iridian Genomes,9076,38391571,,,
Mergus_octosetaceus__Brazilian_merganser__HLmerOcto1A__GCA_036873955.1,Mergus octosetaceus,Brazilian merganser,,1570318,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Mergus,HLmerOcto1A,GCA_036873955.1,NCBI,bMerOct1.hap1,Chromosome,2024-02-26,Vertebrate Genomes Project,10800487,83836255,,,
Oxyura_jamaicensis__ruddy_duck__HLoxyJam1__GCA_011077185.1,Oxyura jamaicensis,ruddy duck,,8884,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Oxyura,HLoxyJam1,GCA_011077185.1,NCBI,BPBGC_Ojam_1.0,Chromosome,2020-03-10,Brood Parasitic Bird Genomes Consortium,128592,36145614,-1.0,-1.0,-1.0
Somateria_mollissima__Common_eider__HLsomMoll1A__GCA_951411735.1,Somateria mollissima,Common eider,"Anas mollissima,Somateria mollisima",76058,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Somateria,HLsomMoll1A,GCA_951411735.1,NCBI,bSomMol1.h1.1,Chromosome,2023-06-27,EBP Norway,7862886,77552753,,,
Spatula_clypeata__Northern_shoveler__HLspaClyp1A__GCA_977066335.1,Spatula clypeata,Northern shoveler," 1758),shoveler,Anas clypeata (Linnaeus",75838,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Spatula,HLspaClyp1A,GCA_977066335.1,NCBI,bSpaCly1.hap1.1,Chromosome,2025-11-28,WELLCOME SANGER INSTITUTE,3649032,76684505,,,
Anser_albifrons__White-fronted_goose__HLansAlbi1A__GCA_976913865.1,Anser albifrons,White-fronted goose,Branta albifrons,50365,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansAlbi1A,GCA_976913865.1,NCBI,bAnsAlb1.hap1.1,Chromosome,2025-10-26,WELLCOME SANGER INSTITUTE,1821908,62180537,,,
Anser_anser__Domestic_goose__HLansAnse1A__GCA_964211835.1,Anser anser,Domestic goose,"Anas anser,graylag goose,greylag goose",8843,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansAnse1A,GCA_964211835.1,NCBI,bAnsAns1.hap1.1,Chromosome,2024-07-31,WELLCOME SANGER INSTITUTE,2674135,78965412,,,
Anser_brachyrhynchus__Pink-footed_goose__HLansBra1__GCA_002592135.1,Anser brachyrhynchus,Pink-footed goose,,132585,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansBra1,GCA_002592135.1,NCBI,ASM259213v1,Scaffold,2017-10-19,"Aarhus University, Denmark",97462,4974386,-1.0,-1.0,-1.0
Anser_brachyrhynchus__Pink-footed_goose__HLansBrac2__GCA_964034855.1,Anser brachyrhynchus,Pink-footed goose,,132585,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansBrac2,GCA_964034855.1,NCBI,bAnsBra1.1,Chromosome,2024-04-27,WELLCOME SANGER INSTITUTE,2049950,79251119,,,
Anser_cygnoides__Swan_goose__HLansCyg2__GCA_013030995.1,Anser cygnoides,Swan goose,"Chinese goose,white Chinese goose",8845,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansCyg2,GCA_013030995.1,NCBI,ASM1303099v1,Scaffold,2020-05-11,Poultry Science Institute,1849874,33116532,-1.0,-1.0,-1.0
Anser_cygnoides__Swan_goose__HLansCygn3__GCF_040182565.1,Anser cygnoides,Swan goose,"Anas cygnoid,white Chinese goose,Chinese goose",8845,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansCygn3,GCF_040182565.1,NCBI,Taihu_goose_T2T_genome,Chromosome,2024-06-14,Jiangsu Agri-animal Husbandry Vocational College,39655246,81007908,,,
Anser_erythropus__Lesser_white-fronted_goose__HLansEryt1A__GCA_965277985.1,Anser erythropus,Lesser white-fronted goose,Anas erythropus,132586,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansEryt1A,GCA_965277985.1,NCBI,bAnsEry1.hap1.1,Chromosome,2025-05-04,WELLCOME SANGER INSTITUTE,2382381,80247187,,,
Anser_fabalis__Taiga_bean_goose__HLansFaba1__GCA_965250395.1,Anser fabalis,Taiga bean goose,"Anser albifrons fabalis,Bean goose,Saatgans,Anas fabalis",132587,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansFaba1,GCA_965250395.1,NCBI,bAnsFab1.1,Chromosome,2025-04-20,WELLCOME SANGER INSTITUTE,2200672,78817196,,,
Anser_indicus__Bar-headed_goose__HLansInd1__GCA_006229135.1,Anser indicus,Bar-headed goose,"Eulabia indica,Eulabeia indica",8846,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Anser,HLansInd1,GCA_006229135.1,NCBI,ASM622913v1,Scaffold,2019-06-11,"State Key Laboratory of Plateau Ecology and Agriculture, Qinghai University",120377,10094206,-1.0,-1.0,-1.0
Branta_canadensis__Canada_goose__HLbraCan1__GCA_006130075.1,Branta canadensis,Canada goose,Anser canadensis,8853,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Branta,HLbraCan1,GCA_006130075.1,NCBI,GSC_cangoose_1.0,Scaffold,2019-06-05,Canada's Genomic Enterprise,220846,15516710,-1.0,-1.0,-1.0
Branta_canadensis__Canada_goose__HLbraCana2__GCA_965231335.1,Branta canadensis,Canada goose,"Anser canadensis,Anas canadensis",8853,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Branta,HLbraCana2,GCA_965231335.1,NCBI,bBraCan1.1,Chromosome,2025-03-29,WELLCOME SANGER INSTITUTE,3892771,78989891,,,
Branta_hutchinsii__Cackling_goose__HLbraHutc1__GCA_032270845.1,Branta hutchinsii,Cackling goose,"Anser hutchinsii,Branta hutchinsi,Branta canadensis hutchinsii",371860,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Branta,HLbraHutc1,GCA_032270845.1,NCBI,ASM3227084v1,Scaffold,2023-10-02,Iridian Genomes,6334,83206430,,,
Branta_leucopsis__Barnacle_goose__HLbraLeuc1A__GCA_965642265.1,Branta leucopsis,Barnacle goose,Anas leucopsis,184711,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Branta,HLbraLeuc1A,GCA_965642265.1,NCBI,bBraLeu2.hap1.1,Chromosome,2025-07-19,WELLCOME SANGER INSTITUTE,6988405,66377272,,,
Branta_ruficollis__Red-breasted_goose__HLbraRufi1__GCA_045784505.1,Branta ruficollis,Red-breasted goose,Anser ruficollis,184715,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Branta,HLbraRufi1,GCA_045784505.1,NCBI,ASM4578450v1,Scaffold,2024-12-06,"Bird 10,000 Genomes (B10K) consortium",86252,12640046,,,
Branta_sandvicensis__Nene__HLbraSand1__GCA_051419555.1,Branta sandvicensis,Nene,Anser sandvicensis,56282,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Branta,HLbraSand1,GCA_051419555.1,NCBI,ASM5141955v1,Scaffold,2025-07-20,Iridian Genomes,43876,76761305,,,
Cygnus_atratus__black_swan__HLcygAtr1__GCA_013377495.1,Cygnus atratus,black swan,,8868,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygAtr1,GCA_013377495.1,NCBI,Cygnus_atratus_primary_v1.0,Contig,2020-06-30,The University of Queensland,12814145,12814145,-1.0,-1.0,-1.0
Cygnus_atratus__Black_swan__HLcygAtr2__GCF_013377495.2,Cygnus atratus,Black swan,Anas atrata,8868,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygAtr2,GCF_013377495.2,NCBI,CAtr_DNAZoo_HiC_assembly,Chromosome,2022-08-03,The University of Queensland,28995010,84552148,-1.0,-1.0,-1.0
Cygnus_buccinator__trumperter_swan__HLcygBuc1__GCA_019232035.1,Cygnus buccinator,trumperter swan,,48397,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygBuc1,GCA_019232035.1,NCBI,ASM1923203v1,Scaffold,2021-07-15,United States Geological Survey,156610,38071269,-1.0,-1.0,-1.0
Cygnus_columbianus__Tundra_swan__HLcygColu1__GCA_965151615.1,Cygnus columbianus,Tundra swan,"Anas columbianus,Olor columbianus,whistling swan",110926,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygColu1,GCA_965151615.1,NCBI,bCygCol1.1,Chromosome,2025-02-15,WELLCOME SANGER INSTITUTE,3838603,78162771,,,
Cygnus_cygnus__Common_whooper__HLcygCygn1A__GCA_965278775.1,Cygnus cygnus,Common whooper,Anas cygnus,219595,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygCygn1A,GCA_965278775.1,NCBI,bCygCyg1.hap1.1,Chromosome,2025-05-10,WELLCOME SANGER INSTITUTE,2482267,65831537,,,
Cygnus_olor__mute_swan__HLcygOlo1__GCA_009769625.1,Cygnus olor,mute swan,,8869,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anserinae; Cygnus,HLcygOlo1,GCA_009769625.1,NCBI,bCygOlo1.pri,Chromosome,2019-12-23,Vertebrate Genomes Project,7743145,81035313,-1.0,-1.0,-1.0
Aythya_americana__Redhead__HLaytAmer1__GCA_049176275.1,Aythya americana,Redhead,"Nyroca americana,Aristonetta americana,Marila americana,Fuligula americana",30385,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya,HLaytAmer1,GCA_049176275.1,NCBI,ASM4917627v1,Scaffold,2025-03-29,Iridian Genomes,23270,75991457,,,
Aythya_baeri__Baers_pochard__HLaytBaer1__GCA_026413565.1,Aythya baeri,Baers pochard,"Anas baeri,Aythya nyroca baeri",1177618,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya,HLaytBaer1,GCA_026413565.1,NCBI,ASM2641356v1,Chromosome,2022-11-27,Collage of Life Science,29098202,85749954,,,
Aythya_ferina__Common_pochard__HLaytFeri1A__GCA_964211825.1,Aythya ferina,Common pochard,"Anas ferina,pochard",219593,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya,HLaytFeri1A,GCA_964211825.1,NCBI,bAytFer1.hap1.1,Chromosome,2024-07-31,WELLCOME SANGER INSTITUTE,4150808,79844515,,,
Aythya_fuligula__tufted_duck__HLaytFul1__GCA_009819795.1,Aythya fuligula,tufted duck,,219594,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya,HLaytFul1,GCA_009819795.1,NCBI,bAytFul2.pri,Chromosome,2019-12-31,Vertebrate Genomes Project,17816505,85905639,-1.0,-1.0,-1.0
Aythya_marila__Greater_scaup__HLaytMari1A__GCA_965140915.1,Aythya marila,Greater scaup,Anas marila,189534,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya,HLaytMari1A,GCA_965140915.1,NCBI,bAytMar2.hap1.1,Chromosome,2025-02-13,WELLCOME SANGER INSTITUTE,3182246,77037309,,,
Aythya_nyroca__Ferruginous_duck__HLaytNyro1__GCA_052075125.1,Aythya nyroca,Ferruginous duck,Anas nyroca,197939,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya,HLaytNyro1,GCA_052075125.1,NCBI,ASM5207512v1,Scaffold,2025-08-16,Iridian Genomes,6932,76982613,,,
Netta_peposaca__Rosy-billed_pochard__HLnetPepo1__GCA_051419195.1,Netta peposaca,Rosy-billed pochard,Anas peposaca,541013,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Netta,HLnetPepo1,GCA_051419195.1,NCBI,ASM5141919v1,Scaffold,2025-07-20,Iridian Genomes,15217,75817134,,,
Netta_rufina__Red-crested_pochard__HLnetRuf1__GCA_964035555.1,Netta rufina,Red-crested pochard,Anas rufina,30387,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Netta,HLnetRuf1,GCA_964035555.1,NCBI,bNetRuf1.1,Chromosome,2024-04-29,WELLCOME SANGER INSTITUTE,3347974,77261329,-1.0,-1.0,-1.0
Dendrocygna_arborea__Black-billed_whistling-duck__HLdenArbo1__GCA_049176575.1,Dendrocygna arborea,Black-billed whistling-duck,"Anas arborea,West Indian tree duck",8871,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Dendrocygninae; Dendrocygna,HLdenArbo1,GCA_049176575.1,NCBI,ASM4917657v1,Scaffold,2025-03-29,Iridian Genomes,42527,77598070,,,
Dendrocygna_autumnalis__Black-bellied_whistling-duck__HLdenAutu1__GCA_048604525.1,Dendrocygna autumnalis,Black-bellied whistling-duck,"red-billed whistling-duck,black-bellied tree duck,Anas autumnalis",8873,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Dendrocygninae; Dendrocygna,HLdenAutu1,GCA_048604525.1,NCBI,ASM4860452v1,Scaffold,2025-03-18,Iridian Genomes,31645,66240164,,,
Dendrocygna_bicolor__Fulvous_whistling-duck__HLdenBico1__GCA_051419595.1,Dendrocygna bicolor,Fulvous whistling-duck,"fulvous tree duck,Anas bicolor",8874,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Dendrocygninae; Dendrocygna,HLdenBico1,GCA_051419595.1,NCBI,ASM5141959v1,Scaffold,2025-07-20,Iridian Genomes,22455,77754676,,,
Dendrocygna_viduata__White-faced_whistling-duck__HLdenVidu1__GCA_051419395.1,Dendrocygna viduata,White-faced whistling-duck,"white-faced tree duck,Anas viduata,Dendrocygna viduata viduata",8876,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Dendrocygninae; Dendrocygna,HLdenVidu1,GCA_051419395.1,NCBI,ASM5141939v1,Scaffold,2025-07-20,Iridian Genomes,13425,77497130,,,
Stictonetta_naevosa__freckled_duck__HLstiNae1__GCA_011074415.1,Stictonetta naevosa,freckled duck,,45637,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Stictonettinae; Stictonetta,HLstiNae1,GCA_011074415.1,NCBI,BPBGC_Snae_1.0,Chromosome,2020-03-10,Brood Parasitic Bird Genomes Consortium,136958,10707530,-1.0,-1.0,-1.0
Alopochen_aegyptiaca__Egyptian_goose__HLaloAegy1A__GCA_965278175.1,Alopochen aegyptiaca,Egyptian goose,"Anas aegyptiaca,Alopochen aegyptiacus",30382,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Tadorninae; Alopochen,HLaloAegy1A,GCA_965278175.1,NCBI,bAloAeg2.hap1.1,Chromosome,2025-05-08,WELLCOME SANGER INSTITUTE,4748427,79723726,,,
Tadorna_tadorna__Common_shelduck__HLtadTado1__GCA_045784645.1,Tadorna tadorna,Common shelduck,Anas tadorna,75865,Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Tadorninae; Tadorna,HLtadTado1,GCA_045784645.1,NCBI,ASM4578464v1,Scaffold,2024-12-06,"Bird 10,000 Genomes (B10K) consortium",168683,6647627,,,
Chauna_torquata__southern_screamer__HLchaTor1__GCA_013399475.1,Chauna torquata,southern screamer,,30388,Aves; Neognathae; Galloanserae; Anseriformes; Anhimidae; Chauna,HLchaTor1,GCA_013399475.1,NCBI,ASM1339947v1,Scaffold,2020-07-10,B10K Consortium,39550,232486,-1.0,-1.0,-1.0
Anseranas_semipalmata__magpie_goose__HLansSem1__GCA_013399115.1,Anseranas semipalmata,magpie goose,,8851,Aves; Neognathae; Galloanserae; Anseriformes; Anseranatidae; Anseranas,HLansSem1,GCA_013399115.1,NCBI,ASM1339911v1,Scaffold,2020-07-10,B10K Consortium,53214,628312,-1.0,-1.0,-1.0
Penelope_pileata__White-crested_guan__HLpenPil1__GCA_013396635.1,Penelope pileata,White-crested guan,,1118817,Aves; Neognathae; Galloanserae; Galliformes; Cracidae; Penelope,HLpenPil1,GCA_013396635.1,NCBI,ASM1339663v1,Scaffold,2020-07-10,B10K Consortium,84123,732582,-1.0,-1.0,-1.0
Numida_meleagris__helmeted_guineafowl__HLnumMel2__GCA_014595935.1,Numida meleagris,helmeted guineafowl,,8996,Aves; Neognathae; Galloanserae; Galliformes; Numididae; Numida,HLnumMel2,GCA_014595935.1,NCBI,HGFv1,Scaffold,2020-09-15,"Kunming Institute of Zoology, Chinese Academy of Sciences",14170429,98083000,-1.0,-1.0,-1.0
Callipepla_squamata__scaled_quail__HLcalSqu1__GCA_002218305.1,Callipepla squamata,scaled quail,,9009,Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Callipepla,HLcalSqu1,GCA_002218305.1,NCBI,ASM221830v1,Scaffold,2017-07-13,Texas A&M University,154132,1035259,-1.0,-1.0,-1.0
Callipepla_californica_brunnescens__California_quail__HLcalCalBru1__GCA_023055725.1,Callipepla californica brunnescens,California quail,"Tetrao californicus,Lophortyx californica",2893758,Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Callipepla; Callipepla californica,HLcalCalBru1,GCA_023055725.1,NCBI,bCalCai1.0.a,Scaffold,2022-04-19,UCLA,3481594,12585889,-1.0,-1.0,-1.0
Colinus_virginianus__northern_bobwhite__HLcolVir2__GCA_008692595.1,Colinus virginianus,northern bobwhite,"common bobwhite,bobwhite quail",9014,Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Colinus,HLcolVir2,GCA_008692595.1,NCBI,Cv_LA_1.0,Scaffold,2019-10-07,Louisiana State University,136674,66809948,-1.0,-1.0,-1.0
Cyrtonyx_montezumae__Montezuma_quail__HLcyrMon1__GCF_038088225.1,Cyrtonyx montezumae,Montezuma quail,"Ortyx montezumae,Mearns's quail",9017,Aves; Neognathae; Galloanserae; Galliformes; Odontophoridae; Cyrtonyx,HLcyrMon1,GCF_038088225.1,NCBI,pur_monq_1.0,Scaffold,2024-04-12,Purdue University,8147501,36229164,-1.0,-1.0,-1.0
