Species,Common_Name,Directory_Name,NCBI_Accession,Assembly_Status,Contig_N50,Scaffold_N50,Intact_ORFs
Agapornis roseicollis,peach-faced lovebird,Agapornis_roseicollis__peach-faced_lovebird__HLagaRos1__GCA_002631895.1,GCA_002631895.1,Scaffold,28585,118346,
Agelaius phoeniceus,Red-winged blackbird,Agelaius_phoeniceus__Red-winged_blackbird__HLagePhoe4A__GCF_051311805.1,GCF_051311805.1,Chromosome,30085171,73898474,
Agelaius tricolor,tricolored blackbird,Agelaius_tricolor__tricolored_blackbird__HLageTri2__GCA_023055355.1,GCA_023055355.1,Scaffold,22601135,47739980,
Ailuropoda melanoleuca,giant panda,Ailuropoda_melanoleuca__giant_panda__HLailMel3__GCA_029963865.1,GCA_029963865.1,Chromosome,28556066,134169173,13652.0
Ailurus fulgens,lesser panda,Ailurus_fulgens__lesser_panda__HLailFul2,DNA Zoo Consortium,,97931,143796361,14279.0
Aix galericulata,mandarin duck,Aix_galericulata__mandarin_duck__HLaixGal1__GCA_024635365.1,GCA_024635365.1,Scaffold,77396,78198423,
Aix sponsa,Wood duck,Aix_sponsa__Wood_duck__HLaixSpon1__GCA_051175885.1,GCA_051175885.1,Contig,5242973,5242973,
Alauda arvensis,Eurasian skylark,Alauda_arvensis__Eurasian_skylark__HLalaArv1__GCA_902810485.1,GCA_902810485.1,Scaffold,79699,1430931,
Alaudala cheleensis,Asian short-toed lark,Alaudala_cheleensis__Asian_short-toed_lark__HLalaChe1__GCA_013398995.1,GCA_013398995.1,Scaffold,96766,398825,
Alca torda,razorbill,Alca_torda__razorbill__HLalcTor1__GCA_008658365.1,GCA_008658365.1,Chromosome,18221265,84526827,
Alces alces,Eurasian elk,Alces_alces__Eurasian_elk__HLalcAlc1__GCA_007570765.1,GCA_007570765.1,Scaffold,45090,4131188,13693.0
Aldabrachelys gigantea,Aldabra giant tortoise,Aldabrachelys_gigantea__Aldabra_giant_tortoise__HLaldGiga1__GCA_026122505.1,GCA_026122505.1,Chromosome,58656949,148569599,
Aleadryas rufinucha,rufous-naped whistler,Aleadryas_rufinucha__rufous-naped_whistler__HLaleRuf1__GCA_013397815.1,GCA_013397815.1,Scaffold,90297,367770,
Alectoris chukar,Chukar partridge,Alectoris_chukar__Chukar_partridge__HLaleChuk1__GCA_035666275.1,GCA_035666275.1,Chromosome,1069603,93605039,
Alectoris graeca,Rock partridge,Alectoris_graeca__Rock_partridge__HLaleGrae1__GCA_965278835.1,GCA_965278835.1,Chromosome,43679502,97991491,
Alectoris magna,Przewalskis partridge,Alectoris_magna__Przewalskis_partridge__HLaleMagn1__GCA_030625065.1,GCA_030625065.1,Chromosome,23345045,77158717,
Alectoris rufa,red-legged partridge,Alectoris_rufa__red-legged_partridge__HLalcRuf1__GCA_019345075.1,GCA_019345075.1,Scaffold,97167,11577318,
Alexandromys fortis,Reed vole,Alexandromys_fortis__Reed_vole__HLaleFor1__GCF_014885135.2,GCF_014885135.2,Scaffold,90683,9992017,14457.0
Alexandromys oeconomus,Root vole,Alexandromys_oeconomus__Root_vole__HLaleOec1__GCA_963919705.1,GCA_963919705.1,Scaffold,60754688,60754688,14507.0
Allenopithecus nigroviridis,Allens swamp monkey,Allenopithecus_nigroviridis__Allens_swamp_monkey__HLallNig1,DNA Zoo Consortium,,47878,115073448,13759.0
Alligator mississippiensis,American alligator,Alligator_mississippiensis__American_alligator__HLallMiss2__GCF_030867095.1,GCF_030867095.1,Chromosome,38556409,255078640,
Alopecoenas beccarii,Western bronze ground-dove,Alopecoenas_beccarii__Western_bronze_ground-dove__HLaloBec1__GCA_013399365.1,GCA_013399365.1,Scaffold,126523,674421,
Alopochen aegyptiaca,Egyptian goose,Alopochen_aegyptiaca__Egyptian_goose__HLaloAegy1A__GCA_965278175.1,GCA_965278175.1,Chromosome,4748427,79723726,
Alouatta caraya,Black howler monkey,Alouatta_caraya__Black_howler_monkey__HLaloCara1__GCA_963575295.1,GCA_963575295.1,Scaffold,32391,32393,11833.0
Alouatta palliata,mantled howler monkey,Alouatta_palliata__mantled_howler_monkey__HLaloPal1__GCA_004027835.1,GCA_004027835.1,Scaffold,51304,72427,13465.0
Amazona aestiva,blue-fronted amazon,Amazona_aestiva__blue-fronted_amazon__HLamaAes1__GCA_001420675.1,GCA_001420675.1,Scaffold,26171,1281105,
Amazona collaria,yellow-billed parrot,Amazona_collaria__yellow-billed_parrot__HLamaCol1__GCA_003947215.1,GCA_003947215.1,Scaffold,208912,13267695,
Amazona guildingii,Saint Vincent amazon,Amazona_guildingii__Saint_Vincent_amazon__HLamaGui1__GCA_013399615.1,GCA_013399615.1,Scaffold,61007,275649,
Amazona ochrocephala,Yellow-crowned parrot,Amazona_ochrocephala__Yellow-crowned_parrot__HLamaOchr1A__GCA_039720435.1,GCA_039720435.1,Chromosome,14879228,92674118,
Amazona vittata,Puerto Rican parrot,Amazona_vittata__Puerto_Rican_parrot__amaVit1__GCA_000332375.1,GCA_000332375.1,Scaffold,6904,19239,
Amazonetta brasiliensis,Brazilian duck,Amazonetta_brasiliensis__Brazilian_duck__HLamaBras1__GCA_038381965.1,GCA_038381965.1,Scaffold,38439,75223119,
Amblyornis subalaris,streaked bowerbird,Amblyornis_subalaris__streaked_bowerbird__HLambSub1__GCA_018881555.1,GCA_018881555.1,Scaffold,695827,5791924,
Amblysomus hottentotus,Hottentot golden mole,Amblysomus_hottentotus__Hottentot_golden_mole__HLambHott1A__GCA_054824725.1,GCA_054824725.1,Scaffold,59459156,96331173,14995.0
Ammodramus savannarum pratensis,grasshopper sparrow,Ammodramus_savannarum_pratensis__grasshopper_sparrow__HLammSavPra1__GCA_020466415.1,GCA_020466415.1,Scaffold,68851,68240656,
Ammospiza caudacuta,saltmarsh sparrow,Ammospiza_caudacuta__saltmarsh_sparrow__HLammCau1__GCF_027887145.1,GCF_027887145.1,Chromosome,8252193,78443464,
Ammospiza maritima maritima,seaside sparrow,Ammospiza_maritima_maritima__seaside_sparrow__HLammMariMar1__GCA_036010785.1,GCA_036010785.1,Chromosome,8735889,67791739,
Ammospiza nelsoni,Nelsons sparrow,Ammospiza_nelsoni__Nelsons_sparrow__HLammNel1__GCF_027579445.1,GCF_027579445.1,Chromosome,12036358,74723840,
Ammotragus lervia,aoudad,Ammotragus_lervia__aoudad__HLammLer1__GCA_002201775.1,GCA_002201775.1,Scaffold,52017,1301762,14840.0
Anarhynchus nivosus,Snowy plover,Anarhynchus_nivosus__Snowy_plover__HLanaNivo1__GCA_043789995.1,GCA_043789995.1,Scaffold,26317920,85629357,
Anas acuta,Northern pintail,Anas_acuta__Northern_pintail__HLanaAcu1__GCF_963932015.1,GCF_963932015.1,Chromosome,3416933,76435830,
Anas bahamensis,white-cheeked pintail,Anas_bahamensis__white-cheeked_pintail__HLanaBaha1__GCA_038381715.1,GCA_038381715.1,Scaffold,9633,76845102,
Anas bernieri,Berniers teal,Anas_bernieri__Berniers_teal__HLanaBern1__GCA_032165215.1,GCA_032165215.1,Scaffold,42853,80193075,
Anas capensis,Cape teal,Anas_capensis__Cape_teal__HLanaCape1__GCA_032357685.1,GCA_032357685.1,Scaffold,9950,64715642,
Anas crecca,Common teal,Anas_crecca__Common_teal__HLanaCrec1__GCA_036873605.1,GCA_036873605.1,Scaffold,32370,79881237,
Anas melleri,Mellers duck,Anas_melleri__Mellers_duck__HLanaMell1__GCA_052075425.1,GCA_052075425.1,Scaffold,1864,29552448,
Anas platyrhynchos,Mallard,Anas_platyrhynchos__Mallard__HLanaPla3__GCF_015476345.1,GCF_015476345.1,Chromosome,5679408,76269206,
Anas platyrhynchos platyrhynchos,common mallard,Anas_platyrhynchos_platyrhynchos__common_mallard__HLanaPla2__GCA_002743455.1,GCA_002743455.1,Chromosome,88037,74988519,
Anas zonorhyncha,Eastern spot-billed duck,Anas_zonorhyncha__Eastern_spot-billed_duck__HLanaZon1__GCA_002224875.1,GCA_002224875.1,Scaffold,33496,2077029,
Anhinga anhinga,American anhinga,Anhinga_anhinga__American_anhinga__HLanhAnh1__GCA_013396435.1,GCA_013396435.1,Scaffold,25978,337495,
Anodorhynchus hyacinthinus,hyacinth macaw,Anodorhynchus_hyacinthinus__hyacinth_macaw__HLanoHya1__GCA_009936445.1,GCA_009936445.1,Scaffold,88936,3229032,
Anomalospiza imberbis,Cuckoo finch,Anomalospiza_imberbis__Cuckoo_finch__HLanoImb2__GCA_031753505.1,GCA_031753505.1,Chromosome,12312023,72455167,
Anoura caudifer,tailed tailless bat,Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1,GCA_004027475.1,Scaffold,143417,185021,14025.0
Anser albifrons,White-fronted goose,Anser_albifrons__White-fronted_goose__HLansAlbi1A__GCA_976913865.1,GCA_976913865.1,Chromosome,1821908,62180537,
Anser anser,Domestic goose,Anser_anser__Domestic_goose__HLansAnse1A__GCA_964211835.1,GCA_964211835.1,Chromosome,2674135,78965412,
Anser brachyrhynchus,Pink-footed goose,Anser_brachyrhynchus__Pink-footed_goose__HLansBrac2__GCA_964034855.1,GCA_964034855.1,Chromosome,2049950,79251119,
Anser cygnoides,Swan goose,Anser_cygnoides__Swan_goose__HLansCygn3__GCF_040182565.1,GCF_040182565.1,Chromosome,39655246,81007908,
Anser erythropus,Lesser white-fronted goose,Anser_erythropus__Lesser_white-fronted_goose__HLansEryt1A__GCA_965277985.1,GCA_965277985.1,Chromosome,2382381,80247187,
Anser fabalis,Taiga bean goose,Anser_fabalis__Taiga_bean_goose__HLansFaba1__GCA_965250395.1,GCA_965250395.1,Chromosome,2200672,78817196,
Anser indicus,Bar-headed goose,Anser_indicus__Bar-headed_goose__HLansInd1__GCA_006229135.1,GCA_006229135.1,Scaffold,120377,10094206,
Anseranas semipalmata,magpie goose,Anseranas_semipalmata__magpie_goose__HLansSem1__GCA_013399115.1,GCA_013399115.1,Scaffold,53214,628312,
Antechinus flavipes,yellow-footed antechinus,Antechinus_flavipes__yellow-footed_antechinus__HLantFla1__GCA_016432865.1,GCA_016432865.1,Chromosome,51843704,636717922,
Antechinus stuartii,brown antechinus,Antechinus_stuartii__brown_antechinus__HLantStu1__GCA_016696395.1,GCA_016696395.1,Scaffold,77883,72733491,
Anthoscopus minutus,Southern penduline tit,Anthoscopus_minutus__Southern_penduline_tit__HLantMin1__GCA_013399455.1,GCA_013399455.1,Scaffold,49651,108848,
Anthus petrosus,European rock pipit,Anthus_petrosus__European_rock_pipit__HLantPetr1__GCA_045784945.1,GCA_045784945.1,Scaffold,197839,17879394,
Antidorcas marsupialis,springbok,Antidorcas_marsupialis__springbok__HLantMar1__GCA_006408585.1,GCA_006408585.1,Scaffold,42749,694905,12770.0
Antilocapra americana,pronghorn,Antilocapra_americana__pronghorn__HLantAme1__GCA_007570785.1,GCA_007570785.1,Scaffold,220431,18739554,14782.0
Antrostomus carolinensis,Chuck-wills-widow,Antrostomus_carolinensis__Chuck-wills-widow__capCar1__GCF_000700745.1,GCF_000700745.1,Scaffold,22156,46345,
Antrozous pallidus,pallid bat,Antrozous_pallidus__pallid_bat__HLantPal2__GCA_027563665.1,GCA_027563665.1,,41887785,114648712,14446.0
Aonyx cinereus,Asian small-clawed otter,Aonyx_cinereus__Asian_small-clawed_otter__HLaonCin1,DNA Zoo Consortium,,68934,130942447,14297.0
Aotus nancymaae,Mas night monkey,Aotus_nancymaae__Mas_night_monkey__aotNan1__GCF_000952055.2,GCF_000952055.2,Scaffold,126456,8268663,13480.0
Apaloderma vittatum,bar-tailed trogon,Apaloderma_vittatum__bar-tailed_trogon__apaVit1__GCF_000703405.1,GCF_000703405.1,Scaffold,28882,56673,
Apalone spinifera,Spiny softshell turtle,Apalone_spinifera__Spiny_softshell_turtle__HLapaSpin3__GCA_055691355.1,GCA_055691355.1,Chromosome,79167384,133328498,
Aphelocoma californica,Western scrub-jay,Aphelocoma_californica__Western_scrub-jay__HLaphCali1A__GCA_028536675.1,GCA_028536675.1,Scaffold,11534525,66144195,
Aphelocoma coerulescens,scrub jay,Aphelocoma_coerulescens__scrub_jay__HLaphCoe1__GCA_013398375.1,GCA_013398375.1,Scaffold,133617,7634200,
Aphelocoma insularis,Santa Cruz jay,Aphelocoma_insularis__Santa_Cruz_jay__HLaphInsu1__GCA_048182245.1,GCA_048182245.1,Contig,24220667,24220667,
Aphelocoma woodhouseii,Woodhouses scrub-Jay,Aphelocoma_woodhouseii__Woodhouses_scrub-Jay__HLaphWood1__GCA_048174545.1,GCA_048174545.1,Contig,23231059,23231059,
Aplodontia rufa,mountain beaver,Aplodontia_rufa__mountain_beaver__HLaplRuf1__GCA_004027875.1,GCA_004027875.1,Scaffold,33245,37811,13721.0
Apodemus agrarius,Eurasian field mouse,Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1,GCA_964023405.1,Chromosome,35188814,119125257,14891.0
Apodemus speciosus,Large Japanese field mouse,Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1,GCA_045298715.1,Scaffold,2358870,119829018,13538.0
Apodemus sylvaticus,European woodmouse,Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1,GCF_947179515.1,Chromosome,4449850,120938251,14744.0
Aptenodytes forsteri,emperor penguin,Aptenodytes_forsteri__emperor_penguin__aptFor1__GCF_000699145.1,GCF_000699145.1,Scaffold,31730,5071598,
Aptenodytes patagonicus,king penguin,Aptenodytes_patagonicus__king_penguin__HLaptPat1__GCA_010087175.1,GCA_010087175.1,Scaffold,133461,2912628,
Apteryx haastii,Great spotted kiwi,Apteryx_haastii__Great_spotted_kiwi__HLaptHaa1__GCA_003342985.1,GCA_003342985.1,Scaffold,120127,1371329,
Apteryx mantelli,North Island brown kiwi,Apteryx_mantelli__North_Island_brown_kiwi__HLaptMant2A__GCF_036417845.1,GCF_036417845.1,Chromosome,19797665,88095958,
Apteryx mantelli mantelli,North Island brown kiwi,Apteryx_mantelli_mantelli__North_Island_brown_kiwi__aptMan1__GCF_001039765.1,GCF_001039765.1,Contig,17252,5679020,
Apteryx owenii,little spotted kiwi,Apteryx_owenii__little_spotted_kiwi__HLaptOwe1__GCA_003342965.1,GCA_003342965.1,Scaffold,138403,1622467,
Apteryx rowi,Okarito brown kiwi,Apteryx_rowi__Okarito_brown_kiwi__HLaptRow1__GCA_003343035.1,GCA_003343035.1,Scaffold,129376,1672276,
Apus apus,common swift,Apus_apus__common_swift__HLapuApu1,https://www.biorxiv.org/content/10.1101/2024.08.30.610474v1,,35443559,115531037,
Apus caffer,White-rumped swift,Apus_caffer__White-rumped_swift__HLapuCaff1__GCA_045787225.1,GCA_045787225.1,Scaffold,196189,14846650,
Aquila chrysaetos chrysaetos,golden eagle,Aquila_chrysaetos_chrysaetos__golden_eagle__HLaquChrChr3__GCA_900496995.3,GCA_900496995.3,Chromosome,21924221,46934974,
Aquila nipalensis,steppe eagle,Aquila_nipalensis__steppe_eagle__HLaquNip1__GCA_024363155.1,GCA_024363155.1,Scaffold,28788,47036150,
Ara ararauna,Blue-and-yellow macaw,Ara_ararauna__Blue-and-yellow_macaw__HLaraArar2A__GCA_028858755.1,GCA_028858755.1,Chromosome,38811057,110438430,
Ara chloropterus,red-and-green macaw,Ara_chloropterus__red-and-green_macaw__HLaraChl1__GCA_010014725.1,GCA_010014725.1,Scaffold,1535524,33226762,
Ara glaucogularis,Blue-throated macaw,Ara_glaucogularis__Blue-throated_macaw__HLaraGla2__GCA_013433245.1,GCA_013433245.1,Scaffold,11243935,63877199,
Ara militaris,military macaw,Ara_militaris__military_macaw__HLaraMil1__GCA_010015965.1,GCA_010015965.1,Scaffold,177519,4054913,
Ara rubrogenys,red-fronted macaw,Ara_rubrogenys__red-fronted_macaw__HLaraRub1__GCA_917880015.2,GCA_917880015.2,Scaffold,46382249,46382249,
Aramus guarauna,limpkin,Aramus_guarauna__limpkin__HLaraGua1__GCA_013400195.1,GCA_013400195.1,Scaffold,62981,810609,
Aratinga solstitialis,sun parakeet,Aratinga_solstitialis__sun_parakeet__HLaraSol1__GCA_902168055.1,GCA_902168055.1,Scaffold,236229,16980747,
Aratinga weddellii,Weddells conure,Aratinga_weddellii__Weddells_conure__HLaraWed1__GCA_009867205.1,GCA_009867205.1,Scaffold,124592,9081201,
Archilochus colubris,Ruby throated hummingbird,Archilochus_colubris__Ruby_throated_hummingbird__HLarcCol1__GCA_023079485.1,GCA_023079485.1,Chromosome,12033856,46260142,
Arctocephalus australis,South American fur seal,Arctocephalus_australis__South_American_fur_seal__HLarcAus1,CNGB Sequence Archive,,156290,140098749,14251.0
Arctocephalus gazella,Antarctic fur seal,Arctocephalus_gazella__Antarctic_fur_seal__HLarcGaze3A__GCA_040869175.1,GCA_040869175.1,Scaffold,55559406,141635559,15003.0
Arctocephalus townsendi,Guadalupe fur seal,Arctocephalus_townsendi__Guadalupe_fur_seal__HLarcTow1,DNA Zoo Consortium,,60488,127156334,14226.0
Ardenna gravis,Great shearwater,Ardenna_gravis__Great_shearwater__HLardGrav1__GCA_045784155.1,GCA_045784155.1,Scaffold,211952,11567451,
Ardeotis kori,Kori bustard,Ardeotis_kori__Kori_bustard__HLardKor1__GCA_013396375.1,GCA_013396375.1,Scaffold,53368,639944,
Arenaria interpres,ruddy turnstone,Arenaria_interpres__ruddy_turnstone__HLareInt1__GCA_013399435.1,GCA_013399435.1,Scaffold,48252,181329,
Artemisiospiza belli,sage sparrow,Artemisiospiza_belli__sage_sparrow__HLartBel1__GCA_021963965.1,GCA_021963965.1,Scaffold,8253817,17082054,
Artibeus jamaicensis,Jamaican fruit-eating bat,Artibeus_jamaicensis__Jamaican_fruit-eating_bat__HLartJam2__GCA_014825515.1,GCA_014825515.1,Scaffold,374929,2589479,14416.0
Artibeus lituratus,Great fruit-eating bat,Artibeus_lituratus__Great_fruit-eating_bat__HLartLitu2B__GCA_038363175.3,GCA_038363175.3,Chromosome,60386740,164085409,14152.0
Arvicanthis niloticus,Nile rat,Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2,GCF_011762505.2,Chromosome,11143170,82689117,14738.0
Arvicola amphibius,Eurasian water mole,Arvicola_amphibius__Eurasian_water_mole__HLarvAmp1__GCA_903992535.1,GCA_903992535.1,Chromosome,5392280,138658583,14108.0
Asarcornis scutulata,White winged duck,Asarcornis_scutulata__White_winged_duck__HLasaScu1__GCA_013398475.1,GCA_013398475.1,Scaffold,91211,5635001,
Aselliscus stoliczkanus,Stoliczkas trident bat,Aselliscus_stoliczkanus__Stoliczkas_trident_bat__HLaseSto4__GCA_033961575.1,GCA_033961575.1,Chromosome,73009000,162004500,14914.0
Astur gentilis,Northern goshawk,Astur_gentilis__Northern_goshawk__HLastGent1__GCA_929443795.2,GCA_929443795.2,Chromosome,17712854,35025567,
Ateles belzebuth,White-bellied spider monkey,Ateles_belzebuth__White-bellied_spider_monkey__HLateBel1__GCA_963573605.1,GCA_963573605.1,Scaffold,51917,51919,13217.0
Ateles chamek,Black spider monkey,Ateles_chamek__Black_spider_monkey__HLateCha1__GCA_963574935.1,GCA_963574935.1,Scaffold,51908,51921,13225.0
Ateles fusciceps,Brown-headed spider monkey,Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2,GCA_036589455.2,Scaffold,7542955,7560531,4262.0
Ateles geoffroyi,black-handed spider monkey,Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo1__GCA_004024785.1,GCA_004024785.1,Scaffold,59033,73111,13649.0
Ateles hybridus,brown spider monkey,Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1,GCA_916098195.1,Scaffold,50515269,50515269,3875.0
Ateles marginatus,White-cheeked spider monkey,Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1__GCA_963573555.1,GCA_963573555.1,Scaffold,53900,53900,13239.0
Ateles paniscus,Red-faced black spider monkey,Ateles_paniscus__Red-faced_black_spider_monkey__HLatePan1__GCA_963573985.1,GCA_963573985.1,Scaffold,58585,58589,13354.0
Athene cunicularia,burrowing owl,Athene_cunicularia__burrowing_owl__HLathCun1__GCA_003259725.1,GCA_003259725.1,Scaffold,64091,42147404,
Athene noctua,Little owl,Athene_noctua__Little_owl__HLathNoct1A__GCA_965140245.1,GCA_965140245.1,Chromosome,4050372,86326089,
Atrichornis clamosus,Noisy scrubbird,Atrichornis_clamosus__Noisy_scrubbird__HLatrCla1__GCA_013400975.1,GCA_013400975.1,Scaffold,125279,147592,
Axis porcinus,Hog deer,Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1,GCA_054883215.1,Chromosome,54160790,81775362,14969.0
Aythya americana,Redhead,Aythya_americana__Redhead__HLaytAmer1__GCA_049176275.1,GCA_049176275.1,Scaffold,23270,75991457,
Aythya baeri,Baers pochard,Aythya_baeri__Baers_pochard__HLaytBaer1__GCA_026413565.1,GCA_026413565.1,Chromosome,29098202,85749954,
Aythya ferina,Common pochard,Aythya_ferina__Common_pochard__HLaytFeri1A__GCA_964211825.1,GCA_964211825.1,Chromosome,4150808,79844515,
Aythya fuligula,tufted duck,Aythya_fuligula__tufted_duck__HLaytFul1__GCA_009819795.1,GCA_009819795.1,Chromosome,17816505,85905639,
Aythya marila,Greater scaup,Aythya_marila__Greater_scaup__HLaytMari1A__GCA_965140915.1,GCA_965140915.1,Chromosome,3182246,77037309,
Aythya nyroca,Ferruginous duck,Aythya_nyroca__Ferruginous_duck__HLaytNyro1__GCA_052075125.1,GCA_052075125.1,Scaffold,6932,76982613,
Babyrousa celebensis,North Sulawesi babirusa,Babyrousa_celebensis__North_Sulawesi_babirusa__HLbabCel1,DNA Zoo Consortium,,52115,112896847,13427.0
